"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",129.69375,39.7470719502509,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"wia_cbt_mean",40.8375,28.9219969555136,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"pri1_dcs_rate",36.01875,33.6666679558581,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"pri1_surg_prob",29.1375,29.0197414657133,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"wia_spt_mean",28.3875,30.387935841989,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"pri1_evac_prob",26.925,29.3550996421405,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"dnbi_bf_nbi_balance",26.26875,28.121835348271,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"triage_p1_balance",25.6875,26.2946237250527,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"r1_wia_treat_mode",25.275,31.0292360015858,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"kia_cbt_mean",24.675,26.6505344569692,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"dnbi_disease_balance",23.8125,27.2945555589003,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"r2b_hold_mode",23.625,27.8327181095994,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"pri2_evac_prob",22.7625,24.886911985176,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"r1_recovery_mode",22.5,28.4570920075526,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"post_definitive_icu_mode",21.88125,27.5552756375349,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"ot_hours",21.80625,27.0659487896061,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
"r2b_hold_threshold",21.73125,24.8822647088137,20,"r2e_surgery_count","C2, C3, C4",178.50303030303,52.0890336660503,0,FALSE,""
