"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"evacuation_policy_days",109.7875,53.3471916959282,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"mass_casualty_rate",22.3,31.5268238964854,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2e_hold_mode",19.11875,21.4042111495428,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"ame_schedule_interval_days",18.175,25.7979688612964,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"short_resus_mode",17.2625,22.7076637596441,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"dnbi_cbt_mean",16.1625,22.2676932903631,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"fr_demand_interval_days",13.81875,21.4719552020157,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"stabilisation_icu_mode",13.325,17.8843552993583,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r1_recovery_mode",12.3625,17.3987153563886,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"ot_hours",12.225,19.2726498669679,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2b_transport",12.06875,14.9367347304521,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"wia_spt_mean",11.825,15.5252923949074,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"triage_p1_balance",11.275,14.5847399071048,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2b_pre_open_window",11.04375,16.7782202866348,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"kia_cbt_mean",10.99375,14.5413699198094,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri1_dcs_rate",10.925,14.4315535145079,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"post_definitive_icu_mode",10.5875,15.1322351116312,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"dnbi_disease_balance",10.3375,12.0362937992163,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"dnbi_spt_mean",10.33125,13.9111061154483,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2b_hold_threshold",10.31875,13.8589270940202,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri1_surg_prob",10.25,14.155596810189,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"kia_spt_mean",10.20625,13.6151808534096,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"triage_p2_p3_balance",10.03125,16.0201802732317,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri1_evac_prob",9.74375,12.5550416456372,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri2_evac_prob",9.6375,13.0368342036183,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"mass_casualty_max_cas",9.1375,11.0235319466561,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"long_resus_mode",9.0375,13.1128703349439,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri2_surg_prob",8.6875,12.4901210962905,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"disease_surgery_pct",8.49375,11.1519318452714,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"surg_mode",8.4,10.7663125926245,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"mass_casualty_min_cas",8.16875,12.6276557264101,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"p1_p_max",8,13.5407158910489,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"post_op_hold_mode",7.75625,9.8703165942665,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"wia_cbt_mean",7.64375,10.7355989065156,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2b_hold_mode",7.54375,9.50990437649086,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri2_dcs_rate",7.4875,10.1177199298531,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r1_wia_treat_mode",7.45625,9.360337217694,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r1_transport",6.5625,9.85036901526243,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"p1_t_mid",6.43125,10.9060186033362,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"dnbi_bf_nbi_balance",6.4125,8.35124281642842,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r1_tccc_factor",6.1125,12.8067044016632,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"mc_p1_balance",5.975,8.6585541062308,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"ame_failure_probability",5.875,9.28831856915477,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri3_other_surg_prob",5.3,7.58324416758838,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"mc_p2_p3_balance",5.1375,10.157185685643,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri3_dnbi_surg_prob",4.75,6.92665997585074,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2b_forward_hold_max",4.125,7.1735877942704,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"r2b_icu_share",3.49375,4.88372616451824,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"fr_fulfillment_lag_days",3.15,4.65362761724657,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"p2_p_max",2.29375,6.66346517152339,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"p1_k",2.19375,4.39932616700378,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"p1_p_base",2.15,4.02052709951005,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"pri3_dcs_rate",1.64375,4.36121418239656,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
"p2_t_mid",0.95625,2.27380499268008,20,"role4_peak_occupancy","C2, C3, C5",58.8585227272727,39.1495228338214,0,FALSE,""
