"parameter","mu_star","sigma_ee","n_finite_ee","kpi","criteria","response_mean","response_sd","response_na_pts","degenerate","note"
"mass_casualty_rate",0.27036454902623,0.272118183522466,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"mass_casualty_max_cas",0.170083556552569,0.112695772132749,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"long_resus_mode",0.137304566688449,0.305405932770657,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"mass_casualty_min_cas",0.0951527800979571,0.0955855118096879,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"pri2_evac_prob",0.094337833937247,0.19509651380787,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"dnbi_spt_mean",0.0817470568887727,0.15036986126961,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"pri1_evac_prob",0.0768620690469196,0.122990682076966,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"r1_transport",0.0727415112184377,0.0926571584185337,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"surg_mode",0.0714528634157879,0.168991200394623,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"kia_spt_mean",0.0714205022807253,0.129390570769883,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"r1_wia_treat_mode",0.0713909351515716,0.138967361386219,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"kia_cbt_mean",0.0697783664585457,0.15308064985472,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"triage_p2_p3_balance",0.0693933514726967,0.0955185975048138,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"pri1_dcs_rate",0.0693690658047031,0.150840514763487,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"r2b_hold_mode",0.0668455200845805,0.219864892346426,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"dnbi_disease_balance",0.0661577711063689,0.157575249385602,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
"dnbi_bf_nbi_balance",0.065117125022778,0.0982370449787956,20,"transport_q","C3, C4",0.114851601249033,0.117483897589785,0,FALSE,""
