check,seconds
check_analysis_decomposition.R,6
check_analysis_idempotence.R,74
check_arrival_rate_fidelity.R,12
check_baseline_reproduction.R,37
check_composition_ilr.R,8
check_config_restore.R,18
check_console_bindings.R,20
check_dow_calibration.R,2702
check_env_data_summary.R,6
check_icu_time_conservation.R,68
check_input_validation.R,16
check_lever_realisation.R,28
check_lint.R,92
check_markdown.R,6
check_mass_casualty_kia_split.R,41
check_measurement_reproducibility.R,175
check_morris_baseline.R,8
check_pre_open_window.R,39
check_r2e_surgery_seizure.R,16
check_references.R,5
check_replication_independence.R,68
check_roxygen.R,5
check_scenario_labels.R,7
check_screen_cache.R,7
check_screen_order.R,159
check_testthat.R,96
